2025-03-25 at 13:22:41 | INFO | Бот создан
2025-03-25 at 13:22:41 | INFO | Диспетчер создан
2025-03-25 at 13:22:54 | ERROR | Ошибка при отправке сообщения Telegram server says - Bad Request: chat not found
2025-03-25 at 13:23:54 | ERROR | Ошибка при отправке сообщения Telegram server says - Bad Request: chat not found
2025-03-25 at 13:24:55 | ERROR | Ошибка при отправке сообщения Telegram server says - Bad Request: chat not found
2025-03-25 at 13:25:55 | ERROR | Ошибка при отправке сообщения Telegram server says - Bad Request: chat not found
2025-03-25 at 13:26:55 | ERROR | Ошибка при отправке сообщения Telegram server says - Bad Request: chat not found
2025-03-25 at 13:27:55 | ERROR | Ошибка при отправке сообщения Telegram server says - Bad Request: chat not found
2025-03-25 at 13:28:55 | ERROR | Ошибка при отправке сообщения Telegram server says - Bad Request: chat not found
2025-03-25 at 13:29:18 | INFO | Бот остановлен
2025-03-25 at 13:29:55 | INFO | Бот создан
2025-03-25 at 13:29:55 | INFO | Диспетчер создан
2025-03-25 at 13:29:56 | INFO | Опублекован анекдот: - У меня вода покрылась пузырьками, что с ней такое?- Она закипела. Бросай макароны!
2025-03-25 at 13:30:56 | INFO | Опублекован анекдот: — Алло, Серег, у тебя отчество Владимирович ведь? — Бать, с тобой все в порядке?
2025-03-25 at 13:31:56 | INFO | Опублекован анекдот: Образование - это то, что делает из неграмотных людей некомпетентных.
2025-03-25 at 13:32:56 | INFO | Опублекован анекдот: Илон Маск заявил, что если Набиуллина его хорошо попросит, то он посчитает настоящую инфляцию в России...
2025-03-25 at 13:33:57 | INFO | Опублекован анекдот: На факультете социологии одного из вузов был проведен такой эксперимент.Студентам и студенткам факультета дали задание написать фразу, непревышающую 100 слов, с употреблением слов «секс», «любовь» и имподобных.Результаты эксперимента показали, что большинство студенток написалипримерно такую фразу: «Когда двое страстно влюбляются друг в друга и уних присутствует взаимное уважение, то совершенно естественно, что у нихпоявляется физическое влечение друг к другу, которое затем переходит всексуальные отношения».А 99% студентов написали просто: «Я люблю секс».
2025-03-25 at 13:34:10 | INFO | Бот остановлен
2025-03-25 at 13:34:18 | INFO | Бот создан
2025-03-25 at 13:34:18 | INFO | Диспетчер создан
2025-03-25 at 13:34:19 | INFO | Опублекован анекдот: Уехал муж в командировку. Жена, как положено в анекдотах, привелалюбовника.Через десять дней раздается дверной звонок.Жена (с ужасом в голосе): - Муж!!!Любовник ( с облегчением): - Ну, наконец-то!!!
2025-03-25 at 13:41:21 | INFO | Бот остановлен
2025-03-28 at 09:31:50 | INFO | Бот создан
2025-03-28 at 09:31:50 | INFO | Диспетчер создан
2025-03-28 at 09:31:50 | INFO | Опублекован анекдот: Посадил дед репку. Выросла репка большая-пребольшая. Пошел дед тянуть репку -тянет-потянет, а вытянуть не может. Тогда позвал дед бабку. Бабка за дедку,дедка за репку, тянут-потянут, вытянуть не могут. Позвала бабка внучку.Внучка за бабку, бабка за дедку и так далее, до мышки. В итоге картинатакая: мышка за кошку, кошка за Жучку, Жучка за внучку, внучка за бабку,бабка за дедку, дедка за репку. Тянули-тянули, тянули-тянули и разорвалиЖучку на хуй!!!
2025-03-28 at 10:31:49 | INFO | Опублекован анекдот: У колдуньи.- А можно вот этих двух мужчин приворожить?- А зачем двоих?- Да вы ворожите, я потом разберусь.
2025-03-28 at 11:31:49 | INFO | Опублекован анекдот: Сбербанк возобновил прием 5-тысячных купюр в банкоматах Москвы, но фальшивомонетчики и тут оказались на шаг впереди - они наладили выпуск 10-тысячных купюр, которые банкоматы Москвы без проблем принимают по номиналу.
2025-03-28 at 12:31:50 | INFO | Опублекован анекдот: Блондинка в пух и прах разбила автомобиль. Полиция при помощи крана грузит машину на эвакуатор. Блондинка обращается к инспектору: - Сколько сейчас времени? - Час дня. - Вообще-тот я не тороплюсь, но мне бы хотелось, чтобы вы починили её к пяти тридцати, к приходу мужа.
